Folio,Fecha,Ubicacion,Colonia,Hora,Tipo,COORDENADAS,Comentarios
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663935"" target=""_blank"">44663935</a>",19/04/2021,; CALLA INGNACIO ZARAGOZA ENTRE VICENT GUERRERO Y MIGULE HIDALGO,INDEPENDENCIA CALERAS/PUEBLA/PUEBLA,00:12:37,VEHICULO SOSPECHOSO,"19.099056571395902, -98.22672906935884","MENCONA QUE HAY UN AUTO SOSPECHOSO, PASA MUY, RAPIDO Y NO LOGRA VER EL COLOR MENCIONA QUE ES, ENTRE GRIS Y COLOR OSCURO, NO SABE QUE TIPO DE AUTO ES, MENICONA QUE ESTA POLARIZADO Y NO TIENE PLACAS, ACUDE UNIDAD VP-114 ABORDO -POL. AGUILAR MENDIETA, VICTOR SAMUEL,  /POL. TORRES MORENO GUADALUPE, YOSELIN,, ACUDE UNIDAD VP-114 ABORDO -POL. AGUILAR MENDIETA, VICTOR SAMUEL,  /POL. TORRES MORENO GUADALUPE, YOSELIN, SE ENTREVISTAN CON ROSARIO JUAREZ CON, NUMERO 2212418670 QUIEN REFIERE DE QUE AFUERA DE, SU DOMICILIO SE ENCONTRABA UN VEHICULO SOSPECHOSO, , A EL ARRIBO DE LA UNIDAD YA SE HABIA RETIRADO, SE REALISO PRESENCIA CODIGO SLONORO, POR PARTE DE, LA UNIDAD , Y CONTINUA ,, -"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663943"" target=""_blank"">44663943</a>",19/04/2021,;106 OTE ESQ 44 NTE Y BARRANCA,BOSQUES DE SANTA ANITA/PUEBLA/PUEBLA,00:15:07,RIÑA/PELEA CLANDESTINA,"19.079393852768998, -98.14455073081344","INDCIA PELEA EN VIA PUBLICA, ENTRE APORX. 20 PERSONAS, ESTAN PATENADO A UNA PERSONA, TIENE PALOS, ESTAN GOLPEANDO A UNA FEMENINA, TEL CEL OK, 2DA LLAMADA 222 205-9884 INDICA DE GENTE PELEANDO, EN VIA PUBLICA, UNIDAD VP-224 ABORDO LOS ELEMENTOS:  POL. LOZADA, GIRON VICTOR HUGO Y POL. SERRANO PARRA ROGELIO, CELL ARROYO/CANAL, 112355, 3RA LLAMADA MENCIONA PET QUE LA RIÑA CONTINUA,, SON SUS VECINOS LOS QUE SEESTAN PELANDO Y LELGO, MAS GENTE, MENCIONA QUE ESTAN PORTANDO ARMAS DE, FUEGO, UNIDAD VP-224 ABORDO LOS ELEMENTOS:  POL. LOZADA, GIRON VICTOR HUGO Y POL. SERRANO PARRA, ROGELIO*******UNIDAD LLEGA AL PUNTO HACE, RECORRIDO EXTENSO Y NEGATIVO DE ENCONTRAR A, PERSONAS PELEANDO EN VIA PUBLICA  UNIDAD EJA EL, PUNTO SIN NOVEDAD Y CONTINUA SU RECORRIDO, -, -"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663950"" target=""_blank"">44663950</a>",19/04/2021,;68 PTE ESQ 23 NTE,LA LOMA/PUEBLA/PUEBLA,00:16:38,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,"19.076206418362943, -98.19572638848621","IA SUS VECINOS ESTAN INGIRIENDO BEBIDAS EN VIA, PUBLICA Y TIENE MUSICA  A ALTO VOLUMEN, APROX. 4 MASCULINOS, TIENE LAS BEBIDAS ARRIBA DE AUTO BLANCO, TEL CEL OK, UNIDAD VP-407   HERRERA ANDRADE AGUSTÍN Y BONILLA, PEREZ HÉCTOR, UNIDAD VP-407   HERRERA ANDRADE AGUSTÍN Y BONILLA, PEREZ HÉCTOR*****************LA UNIDAD EN EL, LUGAR INDICA AL VER LA UNIDAD LOS MASCULINOS, INGRESAN A SU DOMICILIO LA UNIDAD CONTINUA SU, RECORRIDO, 2DA LLAMADA 221 234-0458 MOLESTA POR  QUE INDIA, QUE LA UNIDAD NO HIZO NADA SE SIGUIO DERECHO Y, LOS MASCULINOS SUBIERON EL VOLUMEN, (AL FONDO DE LA LLAMADA SE ESCUCHA GENTE, CANTANDO), SE INTENTA  INFORMA A EXT. 10121 // 10160 SIN, RESPUESTA"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663954"" target=""_blank"">44663954</a>",19/04/2021,;7 NORTE 204,LA LIBERTAD/PUEBLA/PUEBLA,00:17:12,RUIDO EXCESIVO,"19.07122774622814, -98.23708530197716","URGENTE!  BUENAS NOCHES, FIESTA EN LA CALLE EN LA, COLONIA LA LIBERTAD 7 NORTE 204. APOYE CON UNA, PATRULLA. QUEREMOS DORMIR YA Y POR LO MENOS 10, HOMBRES TOMANDO AYUDA!!!!, UNIDAD JA-003   GUTIÉRREZ MORGADO ENRIQUE  Y, JUAREZ PAISANO HERMINIA, UNIDAD JA-003   GUTIÉRREZ MORGADO ENRIQUE  Y, JUAREZ PAISANO HERMINIA********************LA, UNIDAD EN LA ZONA INIDCA NO SE ESCUCHA NINGUN, RUIDO EXESIVO LA UNIDAD HACE PRESENCIA EN LA ZONA, NADIE INDICA NADA LA UNIDAD CONTINUA SU RECORRIDO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663956"" target=""_blank"">44663956</a>",19/04/2021,; NUESTRA SEÑORA DE GUADALUPE 9 A LT 10 ESQUINA NUESTRA DE FATIMA,CONJUNTO HAB LA GUADALUPANA/PUEBLA/PUEBLA,00:17:41,PERSONA AGRESIVA,"18.973621589357208, -98.17345990383308","REFIERE QUE SU VECINO LLEGA A SU DOMICILIO Y, EMPIEZA A AGREDIR, Y SE AMENAZO CON OTRO MASCULINO, TEL CEL //OK, REPORTA LA UNIDAD  JEEP JA-017 ABORDO  POL., ADRIANA DEL PILAR HERNANDEZ Y POL. JOSHUA URIEL, AMARO GOMEZ, FORMATO AUXILIO O APOYO  FECHA:.  19/04/2021, ESPECIFICAR TIPO DE EVENTO O APOYO   PERSONA, AGRESIVA   COLONIA :  LA GUADALUPANA   CALLES:, NUESTRA SEÑORA DE  GUADALUPE   ACCIONES, REALIZADAS  INFORMA LA UNIDAD AL LLEGAR AL PUNTO, INDICA PETICIONARIO DE NOMBRE OCTAVIO SANTIAGO, 2222609848 UN MASCULINO  EN ESTADO DE EBRIEDAD SE, PONE AGRESIVO POR QUE NO LE QUIEREN VENDER, ALCOHOL,AL ESCUCHAR LA UNIDAD SE RETIRA DEL PUNTO, QUEDANDO EN SIN NOVEDAD  RESULTADOS: SIN NOVEDAD"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663960"" target=""_blank"">44663960</a>",19/04/2021,;FCO I MADERO 90,LIBERTAD/PUEBLA/PUEBLA,00:18:39,PERSONA AGRESIVA,"19.070562167269564, -98.23635551732268","CELL 1ER AND SANTA CRUZ BUENAVISTA/CTO OLIVOS/OLIVOS, 112600, INDCIA D EMASCULINO, ESTA AFUERA DE SU CASA INTENTANDO INGRESAR, NO APORTA DATOS FEMENINA ALTERADA, SOLO GRITA QUE LE URGE POLICISA, CELL AV 11 NTE/AV 2 PTE, 112128, UNIDAD JA-003   GUTIÉRREZ MORGADO ENRIQUE  Y, JUAREZ PAISANO HERMINIA, UNIDAD JA-003   GUTIÉRREZ MORGADO ENRIQUE  Y, JUAREZ PAISANO HERMINIA************************LA, UNIDAD EN EL LUGAR INIDCA NO SE UBICA A PET SE LE, MARCA NO CONTESTA LA UNIDAD HACE PRESENCIA EN LA, ZONA Y NADIE INDICA NADA LA UNIDAD CONTINUA SU, RECORRIDO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663970"" target=""_blank"">44663970</a>",19/04/2021,; CALLE FRANCISCO I MADERO 913 ENTRE BLVD ESTEBAN DE ANTUÑANO Y 11 SUR,LA GLORIA I/PUEBLA/PUEBLA,00:21:28,PERSONA SOSPECHOSA,"19.069492635422968, -98.23806065594114","MENICONA PET QUE HAY UNA PERSONA QUE ESTA TOCANDO, SU PUERTA ES UN MASCULINO Y MENCION QUE NO LO, CONOCE, ESTA EN ACTITUD AGRESIVA., NO LOGRA VER COMO ESTA VESTIDA, UNIDAD JA-003   GUTIÉRREZ MORGADO ENRIQUE  Y, JUAREZ PAISANO HERMINIA, UNIDAD JA-003   GUTIÉRREZ MORGADO ENRIQUE  Y, JUAREZ PAISANO HERMINIA****************LA UNIDAD, EN EL LUGAR INDICA NO SE UBICA A PET SE LE MARCA, NO CONTESTA LA UNIDAD HACE PRESENCIA EN LA ZONA, CON CODIGOS LUMINOSOS Y CONTINUA SU RECORRIDO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663973"" target=""_blank"">44663973</a>",19/04/2021,; PRIVADA EMILIANO ZAPATA 15 ESQUINA GUADALUPE,MIGUEL HIDALGO/PUEBLA/PUEBLA,00:22:20,VIOLENCIA CONTRA LA MUJER,"19.070760244999843, -98.13483452228948","PETICIONARIA MUY ALTERADA, REFIERE QUE QUIERE POLICIA, INDICA QUE SU ESPOSO LA ESTA AGREDIENDO, NO QUIERE LE REGRESEN LLAMADA, --CUELGA LLAMADA ---, TEL CEL //OK, ABORDO DE LA UNIDAD SSC 030 GONZALEZ LOZADA, FAUSTO//HERNANDEZ GARCIA ANGELICA, YA EN EL LUGAR ABORDO DE LA UNIDAD SSC 030, GONZALEZ LOZADA FAUSTO//HERNANDEZ GARCIA ANGELICA, NO UBICARON A PETIONARIA DE LUGAR MANDA EVIDENCIA, GRAFICA ASI MSMO POR PARTE DE CABINA TORRE 3 SE, DEVUELVE LA LLAMADA AL PETIONARIO POR TERCERA VEZ, NO CONTESTA LOS OFICILES CONTINUAN CON EL, RECORRIDO., /////, ENTERADO TELMUJER CON ESTA HORA SE TOMA, CONOCIMIENTO DE ESTE FOLIO YA QUE LA LÍNEA ESTABA, OCUPADA, SE REALIZÓ LLAMADA DE SEGUIMIENTO A PETICIONARIA, PERO NO CONTESTÓ. SE CIERRA FOLIO CON NOTAS DE, POLICÍA, /////"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663975"" target=""_blank"">44663975</a>",19/04/2021,; CALLE REVOLUCION 27,NUEVA SAN SALVADOR/PUEBLA/PUEBLA,00:22:43,PERSONA AGRESIVA,"19.089997796402837, -98.16963357314052","SU VECINO ESTA VIOLENTO, SACO UN MACHETE, ESTA ROMPIENDO BOTELLAS, TEL CEL OK, CELL AV 120 PTE/AV 15 NTE (PALMAS), 112344, 2DA LLAMADA MISMA PET MUY ALTERADA REF QUE EL, MASCULINO SE ESTA QUERIENDO METER A SU CASA, SE INT INF EXT 10121 SIN EXITO, EXT 10160 SIN EXITO, SE INF EXT 10163, 3RA LLADMA 221 318-4355 PET PREG POR LA PATRULLA, EL MASCULIO SE QUIERE METER A LA CASA, UNIDAD VP-224 ABORDO LOS ELEMENTOS:  POL. LOZADA, GIRON VICTOR HUGO Y POL. SERRANO PARRA, ROGELIO*********UNIDAD LLEG AL PUNTO HACE, PRESENCIA Y S ENTREVISTA CON ANA LAURA CONTRERAS, NO PROPORCIONA NUMERAL QUIEN INDICA QUE  SU, VECINO SACA UN MACHETE Y ESTA ROMPIENDO BOTELLAS, AL LLEGAR LA UNIDAD INGRESA ASU DOMICILIO EL, MASCULINO Y QUEDA EL LUGAR SIN NOVEDAD Y CONTINUA, SU RECORRIDO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663997"" target=""_blank"">44663997</a>",19/04/2021,; CARRETERA RESURRECCION //,NOCHEBUENA/PUEBLA/PUEBLA,00:26:32,VEHICULO SOSPECHOSO,"19.0826535295396, -98.13540233081332","CAMIONETA BLANCA, DE BATEA, DESCONOCE PLACAS, INDICA QUE LOS SUJETOS LES ROBARON A UNA PAREJA, ECHOS APROX 3 MINUTOS, ------LOS SUJETOS SE BAJAN DE LA CAMIONETA Y LE, ROBAN A UNA PAREJA, ----DESCONOCE MAS DETALLES ----, UNIDAD VP-224 ABORDO LOS ELEMENTOS:  POL. LOZADA, GIRON VICTOR HUGO Y POL. SERRANO PARRA ROGELIO, UNIDAD VP-224 ABORDO LOS ELEMENTOS:  POL. LOZADA, GIRON VICTOR HUGO Y POL. SERRANO PARRA, ROGELIO***UNIDAD LLEGA AL PUNTO  SE HACE CONTACTO, CON PETICIONARIO PERO NO CONTESTA POR VARIOS, INTENTOS  DE IGUAL FORMA LA UNIDAD NO SE PERCATA, DE NINGUN VEHICULO SOPECHOSO DEJA EL LUGAR SIN, NOVEDAD Y CONTINUA SU RECORRIDO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663999"" target=""_blank"">44663999</a>",19/04/2021,; CALLE NARANJOS 775 ESQ ELIOTROPOS,SAN RAMON CASTILLOTLA 3RA SECC/PUEBLA/PUEBLA,00:27:09,RUIDO EXCESIVO,"18.963719103828357, -98.26272530197848","MENNICONA QUE HAY UNA FIESTA Y TIENE MUSICA A, ALTO VOLUMEN, MENCIONA QUE YA FUE A TOCAR LA, PEURTA E HICIERON CASO OSMISO, 2DA LLAMADA MISMOT ELÉFONO, PREGUNTA POR UNIDAD, INDICA CABINA ZONA 8 : REPORTA AL LUGAR UNIDAD, VP-813 ABORDO POL.  SANCHEZ MORALES MIGUEL ANGEL, Y POL.JUAREZ DE JESUS TANIA, 2DA LLAMDA MISMO PET REF QUE LLEGARON LOS, OFICIALES SOLO LLEGARON Y TOMARON FOTOS, Y SE FUERON, PET REF QEU, DESDE LAS 10 PM ESTA REPORTANDO Y LA UNDIAD NO, LLEGA, NO HACE NADA***, PET MOLESTO, INFORMAN EN EEL LUGAR SE TOCA EN EL DOMICILIO CON, EL RUIDO EXCESIVO SE NIEGAN A SALIR A, ENTREVISTARSE A SI COMO A BAJAR EL, VOLUMEEN...SUBEN EEVIDEENCIA A COORDINACION..., 4TA LLAMADA TEL 222 154-7876 INDICA QUE EL, ESCÁNDALO CONTINUA, SE INFORMA EXTENSIÓN A EXTENSIÓN 10121, EL USUARIO INDICA QUE CUENTA CON VIDEO DE QUE LA, UNIDAD LLEGÓ Y SE RETIRÓ DEL LUGAR"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44664007"" target=""_blank"">44664007</a>",19/04/2021,;CALEL DEL CONDE NUM 21 ESQ PINOS Y MARTIERES DEL RIO BLANCO,PARQUE INDUSTRIAL 5 DE MAYO/PUEBLA/PUEBLA,00:29:26,OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS,"19.095578110536632, -98.18676553081325","TLACOQUEMECATL,BENITO JUAREZ,MEXICO D.F.,CIUDAD DE MEXICO,MX, DT, ADT, SILENCIOSA, 10 MIN, TEL CONM OK, ACUDE UNIDAD JA-012 ABORDO-POL. 7671 VERGARA, MARTINEZ HUMBERTO -,/-POL. GARCIA APONTE KENIA, JESSICA,, ACUDE UNIDAD JA-012 ABORDO-POL. 7671 VERGARA, MARTINEZ HUMBERTO -,/-POL. GARCIA APONTE KENIA, JESSICA,SE ENTREVISTAN CON NAYELI CASTILLO CON, NUMERO 2222120214, QUIEN REFIERE QUE ELLOS NO LA, ACTIVARON , PERO AGRADECEN EL APOYO SE ENCUENTRA, SIN NOVEDAD, CONTINUA LA UNIDAD"
